Player,G,TRB,AST,STL,BLK,TOV,PTS
Mike Muscala,13,2.2,0.8,0.2,0.4,0.2,3.5
Stanley Umude,24,2.1,0.5,0.3,0.3,0.6,5.3
Monte Morris,6,2.0,1.3,0.2,0.2,0.3,4.5
Joe Harris,16,0.8,0.6,0.2,0.1,0.3,2.4
Taj Gibson,4,2.3,0.5,0.3,0.3,0.0,4.5
Buddy Boeheim,10,1.0,0.3,0.0,0.1,0.0,3.4
Malcolm Cazalon,1,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Haliburton,69,3.9,10.9,1.2,0.7,2.3,20.1
Pascal Siakam,41,7.8,3.7,0.8,0.4,1.4,21.3
Bruce Brown,33,4.7,3.0,1.1,0.2,1.2,12.1
Aaron Nesmith,72,3.8,1.5,0.9,0.7,0.9,12.2
Myles Turner,77,6.9,1.3,0.5,1.9,1.4,17.1
Bennedict Mathurin,59,4.0,2.0,0.6,0.2,1.6,14.5
Buddy Hield,52,3.2,2.7,0.8,0.6,1.2,12.0
Andrew Nembhard,68,2.1,4.1,0.9,0.1,1.5,9.2
Obi Toppin,82,3.9,1.6,0.6,0.5,0.8,10.3
T.J. McConnell,71,2.7,5.5,1.0,0.1,1.5,10.2
Jalen Smith,61,5.5,1.0,0.3,0.6,0.7,9.9
Ben Sheppard,57,1.6,0.9,0.6,0.0,0.3,4.4
Isaiah Jackson,59,4.0,0.8,0.6,1.0,0.7,6.5
Doug McDermott,18,0.6,0.7,0.3,0.0,0.2,4.2
Jarace Walker,33,1.9,1.2,0.5,0.3,0.5,3.6
Jordan Nwora,18,1.8,1.0,0.3,0.1,0.7,5.2
Daniel Theis,1,0.0,0.0,0.0,0.0,0.0,2.0
Oscar Tshiebwe,8,2.0,0.3,0.3,0.1,0.0,3.3
James Johnson,9,0.4,0.9,0.6,0.1,0.6,0.9
Kendall Brown,15,0.3,0.3,0.0,0.0,0.1,1.4
Isaiah Wong,1,0.0,0.0,0.0,0.0,0.0,2.0
Quenton Jackson,3,1.3,0.7,0.3,0.0,0.0,0.7
Damian Lillard,73,4.4,7.0,1.0,0.2,2.6,24.3
Giannis Antetokounmpo,73,11.5,6.5,1.2,1.1,3.4,30.4
Brook Lopez,79,5.2,1.6,0.5,2.4,1.0,12.5
Malik Beasley,79,3.7,1.4,0.7,0.1,0.7,11.3
Khris Middleton,55,4.7,5.3,0.9,0.3,2.3,15.1
Bobby Portis,82,7.4,1.3,0.8,0.4,1.1,13.8
Jae Crowder,50,3.2,1.3,0.8,0.2,0.5,6.2
Pat Connaughton,76,3.1,2.1,0.5,0.3,0.6,5.6
Patrick Beverley,26,3.6,2.6,0.7,0.5,0.6,6.0
Cameron Payne,47,1.3,2.3,0.5,0.1,0.7,6.2
MarJon Beauchamp,48,2.1,0.6,0.3,0.1,0.6,4.4
A.J. Green,56,1.1,0.5,0.2,0.1,0.2,4.5
Andre Jackson Jr.,57,2.0,0.9,0.3,0.1,0.5,2.2
Danilo Gallinari,17,1.1,0.7,0.4,0.1,0.6,2.8
TyTy Washington Jr.,11,0.5,0.5,0.3,0.0,0.2,1.3
Thanasis Antetokounmpo,34,0.4,0.5,0.2,0.1,0.4,0.9
Chris Livingston,21,1.0,0.2,0.1,0.0,0.2,1.2
Robin Lopez,16,0.3,0.3,0.1,0.2,0.1,1.1
Ryan Rollins,3,0.7,1.0,0.7,0.0,0.3,1.0
Lindell Wigginton,3,0.0,0.0,0.0,0.0,0.3,2.0
Marques Bolden,2,1.0,0.0,0.0,0.0,0.0,0.0
Kyle Kuzma,70,6.6,4.2,0.5,0.7,2.7,22.2
Jordan Poole,78,2.7,4.4,1.1,0.3,2.4,17.4
Deni Avdija,75,7.2,3.8,0.8,0.5,2.1,14.7
Tyus Jones,66,2.7,7.3,1.1,0.3,1.0,12.0
Bilal Coulibaly,63,4.1,1.7,0.9,0.8,1.4,8.4
Daniel Gafford,45,8.0,1.5,1.0,2.2,1.0,10.9
Corey Kispert,80,2.8,2.0,0.5,0.2,1.2,13.4
Marvin Bagley III,24,8.1,1.2,0.6,0.8,1.3,13.3
Richaun Holmes,17,6.1,0.6,0.5,0.6,0.7,7.1
Landry Shamet,46,1.3,1.2,0.5,0.2,0.7,7.1
Justin Champagnie,15,3.5,1.3,0.7,0.6,0.7,5.9
Tristan Vukcevic,10,3.6,1.3,0.5,0.7,1.0,8.5
Danilo Gallinari,26,2.9,1.2,0.2,0.1,0.5,7.0
Jared Butler,40,1.5,3.2,0.7,0.2,1.3,6.3
Mike Muscala,24,3.1,0.9,0.2,0.3,0.7,4.0
Delon Wright,33,1.8,2.5,1.1,0.2,0.3,4.1
Patrick Baldwin Jr.,38,3.2,0.8,0.5,0.4,0.5,4.4
Johnny Davis,50,1.4,0.6,0.4,0.2,0.3,3.0
Anthony Gill,50,1.9,0.7,0.3,0.2,0.5,3.8
Eugene Omoruyi,43,2.0,0.8,0.6,0.1,0.5,4.8
Jules Bernard,19,1.4,0.8,0.2,0.1,0.4,3.9
Ryan Rollins,10,1.1,1.1,0.8,0.3,0.7,4.1
Hamidou Diallo,2,1.0,0.5,1.0,0.0,0.5,1.0
Trey Jemison,2,0.5,0.0,0.0,0.0,0.5,0.0
Trae Young,54,2.8,10.8,1.3,0.2,4.4,25.7
Dejounte Murray,78,5.3,6.4,1.4,0.3,2.6,22.5
Jalen Johnson,56,8.7,3.6,1.2,0.8,1.8,16.0
Saddiq Bey,63,6.5,1.5,0.8,0.2,0.9,13.7
Bogdan Bogdanović,79,3.4,3.1,1.2,0.3,1.4,16.9
De'Andre Hunter,57,3.9,1.5,0.7,0.3,1.5,15.6
Clint Capela,73,10.6,1.2,0.6,1.5,1.0,11.5
Onyeka Okongwu,55,6.8,1.3,0.5,1.1,0.8,10.2
Vit Krejci,22,2.4,2.3,0.6,0.3,0.9,6.1
Bruno Fernando,45,4.3,1.0,0.6,0.6,1.0,6.3
Garrison Mathews,66,1.4,0.6,0.3,0.1,0.3,4.9
Mouhamed Gueye,6,3.7,0.7,0.8,0.7,0.2,4.0
Dylan Windler,6,2.0,0.5,0.3,0.0,0.3,4.7
Wesley Matthews,36,1.5,0.6,0.4,0.3,0.2,3.1
Kobe Bufkin,17,1.9,1.6,0.4,0.3,0.6,4.8
Trent Forrest,38,1.3,2.4,0.3,0.1,0.5,2.2
Patty Mills,19,1.1,0.7,0.5,0.1,0.4,2.7
AJ Griffin,20,0.9,0.3,0.1,0.1,0.4,2.4
Seth Lundy,9,0.8,0.0,0.0,0.0,0.1,1.6
Paolo Banchero,80,6.9,5.4,0.9,0.6,3.1,22.6
Franz Wagner,72,5.3,3.7,1.1,0.4,1.9,19.7
Jalen Suggs,75,3.1,2.7,1.4,0.6,1.8,12.6
Wendell Carter Jr.,55,6.9,1.7,0.6,0.5,1.2,11.0
Gary Harris,54,1.7,1.6,0.9,0.3,0.6,6.9
Cole Anthony,81,3.8,2.9,0.8,0.5,1.6,11.6
Markelle Fultz,43,3.2,2.8,1.0,0.3,1.2,7.8
Moritz Wagner,80,4.3,1.2,0.5,0.3,1.2,10.9
Joe Ingles,68,2.1,3.0,0.6,0.1,1.0,4.4
Anthony Black,69,2.0,1.3,0.5,0.3,0.8,4.6
Jonathan Isaac,58,4.5,0.5,0.7,1.2,0.5,6.8
Goga Bitadze,62,4.6,1.3,0.5,1.2,0.7,5.0
Caleb Houstan,59,1.4,0.5,0.3,0.1,0.3,4.3
Trevelin Queen,14,1.4,1.3,0.5,0.4,0.5,2.9
Chuma Okeke,47,1.7,0.4,0.2,0.1,0.3,2.3
Jett Howard,18,0.4,0.3,0.1,0.1,0.2,1.6
Admiral Schofield,23,0.7,0.3,0.0,0.0,0.2,1.1
Kevon Harris,2,1.0,0.5,0.0,0.0,0.5,2.0
Bam Adebayo,71,10.4,3.9,1.1,0.9,2.3,19.3
Jimmy Butler,60,5.3,5.0,1.3,0.3,1.7,20.8
Tyler Herro,42,5.3,4.5,0.7,0.1,2.2,20.8
Terry Rozier,31,4.2,4.6,1.0,0.3,1.3,16.4
Jaime Jaquez Jr.,75,3.8,2.6,1.0,0.3,1.5,11.9
Duncan Robinson,68,2.5,2.8,0.7,0.2,1.4,12.9
Kyle Lowry,37,3.5,4.0,1.1,0.4,1.4,8.2
Caleb Martin,64,4.4,2.2,0.7,0.5,1.2,10.0
Josh Richardson,43,2.8,2.4,0.6,0.3,0.8,9.9
Haywood Highsmith,66,3.2,1.1,0.8,0.5,0.5,6.1
Delon Wright,14,1.9,2.6,1.4,0.2,0.2,5.4
Nikola Jović,46,4.2,2.0,0.5,0.3,0.9,7.7
Kevin Love,55,6.1,2.1,0.3,0.2,0.9,8.8
Patty Mills,13,1.2,1.5,0.8,0.0,0.6,5.8
Dru Smith,9,1.6,1.6,1.0,0.3,0.6,4.3
Thomas Bryant,38,3.7,0.6,0.3,0.4,0.6,5.7
Jamal Cain,26,1.4,0.4,0.4,0.2,0.3,3.7
R.J. Hampton,8,0.8,1.0,0.0,0.0,0.4,1.3
Orlando Robinson,36,2.3,0.9,0.2,0.2,0.5,2.8
Cole Swider,18,0.4,0.3,0.1,0.1,0.4,2.3
Alondes Williams,7,0.1,0.0,0.0,0.1,0.3,0.7
Miles Bridges,69,7.3,3.3,0.9,0.5,2.0,21.0
